frame,a,b,c,d,e,intervalo
imagen76,-1.8978647559730888e-05,0.002269489275940741,-0.10806953371719057,2.507158242532545,15.201711827244097,65.0
imagen77,-1.9388498929240328e-05,0.0023142479512651987,-0.10957009580423198,2.524749029184941,15.11561064852421,65.0
imagen78,-2.311984186387228e-05,0.0028793140265099154,-0.13846799797642984,3.0907851370423205,11.791427115267233,65.0
imagen79,-1.901294175454815e-05,0.0022769514715390514,-0.1084042402008352,2.5063682832156964,14.22936635745542,65.0
imagen80,-2.224737008615918e-05,0.0027612140953219753,-0.13325648791606873,3.010036098701462,10.945601963017445,65.0
imagen81,-2.413693250180593e-05,0.00300448504667739,-0.14311589482115816,3.13839954530226,11.64186972939196,65.0
imagen82,-2.3357890493791444e-05,0.0029024038884365327,-0.13897030045086384,3.085013702209376,11.829428202312831,65.0
imagen83,-2.3486814012985135e-05,0.002915772500168808,-0.13947186791783286,3.094671673441244,11.733522891824121,65.0
imagen84,-2.056773807868062e-05,0.0024638511007927747,-0.11559190093774074,2.6018232288318512,14.877302478416862,65.0
imagen85,-1.985710007623709e-05,0.0023743679685714635,-0.11192453537939401,2.5493691362051676,15.058793129017701,65.0
imagen86,-2.0357388632152862e-05,0.0024394818420424465,-0.11482225911593572,2.5976452198526525,14.874333845191261,65.0
imagen87,-1.976719458340881e-05,0.002373007427674139,-0.11240769087280271,2.566335150437872,14.981850750578422,65.0
imagen88,-2.438034544716139e-05,0.0030290504237527505,-0.14419124933196917,3.164020638464794,11.645453560371582,65.0
imagen89,-2.0008845165397915e-05,0.002393711529506915,-0.1129415792761049,2.5720047898752756,14.97015408436535,65.0
imagen90,-1.751713832365276e-05,0.002092424154411234,-0.10123419299307454,2.4128011633003914,14.4519367560607,64.0
imagen91,-2.0365441127712103e-05,0.0024465448125146195,-0.11560991625638815,2.623466520309327,14.691744195823789,65.0
imagen92,-1.9883559721822763e-05,0.0023713669707784327,-0.11182796895171492,2.5573665516291646,15.033385664919674,65.0
